
2025/03/21 (02:19:21) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/03/21 (02:19:26) | INFO: Quitting! Runtime: 00:00:15

2025/03/21 (02:19:28) | ===> btop++ v.1.4.0
2025/03/21 (02:19:28) | DEBUG: Running in DEBUG mode!
2025/03/21 (02:19:28) | INFO: Logger set to DEBUG
2025/03/21 (02:19:28) | DEBUG: Setting LC_ALL=tr_TR.UTF-8
2025/03/21 (02:19:28) | INFO: Running on /dev/pts/0
2025/03/21 (02:19:38) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2025/03/21 (02:19:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: paylaşımlı nesne dosyası açılamıyor: Böyle bir dosya ya da dizin yok
2025/03/21 (02:19:38) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/21 (02:19:38) | DEBUG: Shared::init() : Initialized.
2025/03/21 (02:19:38) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/03/21 (02:19:44) | INFO: Quitting! Runtime: 00:00:16

2025/03/21 (12:37:56) | ===> btop++ v.1.4.0
2025/03/21 (12:37:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (12:38:29) | ===> btop++ v.1.4.0
2025/03/21 (12:38:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (12:48:09) | ===> btop++ v.1.4.0
2025/03/21 (12:48:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (18:23:21) | ===> btop++ v.1.4.0
2025/03/21 (18:23:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/21 (20:46:53) | ===> btop++ v.1.4.0
2025/03/21 (20:46:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/22 (00:45:03) | ===> btop++ v.1.4.0
2025/03/22 (00:45:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (00:45:31) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/03/22 (00:45:53) | ===> btop++ v.1.4.0
2025/03/22 (00:45:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/22 (01:35:18) | ===> btop++ v.1.4.0
2025/03/22 (01:35:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/22 (01:36:23) | ===> btop++ v.1.4.0
2025/03/22 (01:36:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
